"Name","Disc. Date","mmax","Host Name","Host R.A.","Host Dec.","z","Type","Phot.","Spec.","X-ray"
"PS18kh","2018/02/07","17.11","SDSS J075654.53+341543.6","07:56:54.53","+34:15:43.6","0.074","","572","70",""
"ASASSN-15lh","2015/06/14","15.24","APMUKS (BJ) B215839.70-615403.9","22:02:15.39","-61:39:34.60","0.2326","MS + SMBH","472","32","0"
"ASASSN-14ae","2014/01/25","15.6","SDSS J110840.11+340552.2","11:08:40.12","+34:05:52.23","0.043671","TDE","458","17","0"
"AT2018hyz","2018/10/14","15.71","","","","0.04573","Candidate","443","1",""
"AT2019qiz","2019/09/24","14.05","","","","0.01513","Candidate","315","19",""
"ASASSN-14li","2014/11/22","15.8","SDSS J124815.23+174626.4","12:48:15.23","+17:46:26.44","0.0206","MS + SMBH","308","69","136"
"AT2016ezh","2016/08/26","14.79","","","","0.08","TDE","256","2",""
"iPTF16fnl","2016/08/26","15.19","MRK 950","00:29:57.010","+32:53:37.24","0.0163","","248","21","0"
"ASASSN-15oi","2015/08/14","14.44","2MASX J20390918-3045201","20:39:09.18","-30:45:20.10","0.02","TDE?","243","5","2"
"CSS100217","2002/12/31","13.03","SDSS J102912.58+404219.7","10:29:12.574","+40:42:19.76","0.147","TDE?","173","4","2"
"iPTF16axa","2016/05/29","19.07","SDSS J170334.34+303536.6","17:03:34.34","+30:35:36.6","0.108","","163","",""
"OGLE17aaj","2016/01/28","19.71","GALEXASC J015624.70-710415.8","01:56:24.70","-71:04:15.8","0.116","TDE","155","",""
"PTF09ge","2009/05/07","17.61","SDSS J145703.17+493640.9","14:57:03.18","+49:36:40.97","0.064","TDE","132","2","0"
"PS1-10jh","2010/05/16","19.18","SDSS J160928.27+534023.9","16:09:28.28","+53:40:23.99","0.1696","MS + SMBH","111","","1"
"SN2017bcc","2017/02/18","18.33","SDSS J113152.97+295944.8","11:31:52.97","+29:59:44.8","0.133","SLSN-I?","108","1",""
