"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"76237","AT 2021blz","04:32:31.252","-32:25:50.37","TDE","0.045","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21djg","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","18.317","orange-ATLAS","2021-01-31 06:47:31.200","ATLAS_Bot1","",""
"75855","AT 2021axu","11:46:36.356","+30:05:07.43","TDE","0.19","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ATLAS21bsh","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.218","cyan-ATLAS","2021-01-17 12:17:16.800","ATLAS_Bot1","",""
"75264","AT 2021ack","13:53:09.988","+09:44:25.35","TDE","0.133","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS21blz","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.205","cyan-ATLAS","2021-01-12 14:52:48.000","ATLAS_Bot1","",""
"72824","AT 2020acka","15:55:01.935","+16:18:16.17","TDE","","SDSS J155501.93+161816.2","0.353","ALeRCE, ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20acwytxn","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5655","r-ZTF","2020-12-11 13:17:09.001","ALeRCE","",""
"70916","AT 2020zso","22:22:17.130","-07:15:59.08","TDE","0.061","SDSS J222217.13-071558.9","0.061","ALeRCE, ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts; ZTF","ZTF20acqoiyt","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.402","g-ZTF","2020-11-12 03:36:05.003","ALeRCE","",""
"68485","AT 2020wey","09:05:25.880","+61:48:09.18","TDE","0.02738","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","None","ATLAS; GaiaAlerts; ZTF","ZTF20acitpfz","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.88","g-ZTF","2020-10-08 11:49:28.416","ZTF_AMPEL_COMPLETE","",""
"68263","AT 2020vwl","15:30:37.800","+26:58:56.89","TDE","0.035","","","GaiaAlerts, ATLAS, ZTF","GaiaAlerts, ATLAS, ZTF","ZTF","ATLAS; GaiaAlerts; ZTF","Gaia20etp","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.94","G-Gaia","2020-10-10 17:28:19.200","Gaia_Bot1","",""
"62424","AT 2020nov","16:58:12.970","+02:07:03.04","TDE","0.084","WISEA J165812.98+020703.0","","ALeRCE, ZTF, YSE, ATLAS, GaiaAlerts","ZTF, Pan-STARRS1, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20abisysx","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.6737","g-ZTF","2020-06-27 05:34:53.003","ALeRCE","",""
"62149","AT 2020neh","15:21:20.090","+14:04:10.52","TDE","0.062","","","ZTF, ATLAS, GaiaAlerts, YSE","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20abgwfek","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.76","g-ZTF","2020-06-19 06:06:47.808","ZTF_AMPEL_NEW","",""
"61737","AT 2020mot","00:31:13.560","+85:00:31.90","TDE","0.07","WISEA J003113.52+850031.8","","ALeRCE, ZTF, GaiaAlerts","ZTF, GaiaAlerts","Global SN Project","GaiaAlerts; ZTF","ZTF20abfcszi","Gaia - Gaia-photometric, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.6739","g-ZTF","2020-06-14 09:27:05.003","ALeRCE","",""
"51955","AT 2020pj","15:31:34.960","+33:05:41.47","TDE","0.068","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20aabqihu","ATLAS1 - ACAM1, P48 - ZTF-Cam","DCT - Deveny-LMI","1","1","","19.71","r-ZTF","2020-01-02 12:13:43.000","ZTF_AMPEL_COMPLETE","",""
"48378","AT 2019vcb","12:38:56.380","+33:09:57.28","TDE","0.089","","","ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19acspeuw","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","19.02","g-ZTF","2019-11-15 13:14:20.000","ZTF_AMPEL_NEW","",""
"47075","AT 2019teq","18:59:05.498","+47:31:05.66","TDE","0.0878","","","ZTF","ZTF","ZTF","ZTF","ZTF19accmaxo","P48 - ZTF-Cam","","1","1","","19.54","g-ZTF","2019-10-20 02:47:36.000","ZTF_AMPEL_NEW","",""
"45143","AT 2019qiz","04:46:37.880","-10:13:34.90","TDE","0.0151","2MASX J04463790-1013349","0.01513","ALeRCE, ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","None","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19abzrhgq","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","17.8184","r-ZTF","2019-09-19 11:59:43.000","ALeRCE","",""
